Function,Name,Dll,AmountInGoodwares,AmountInRansomwares
b'?setUseTraffic@RouterEngine@nmacore@@QEAAX_N@Z',1,1,1,0
b'?setUseTraffic@RouterEngine@nmacore@Microsoft@@QEAAX_N@Z',1,1,1,0
b'?setViewArea@MapView@nmacore@@UEAAXAEBVPixelRect@ngeo@@@Z',1,1,1,0
b'?setViewType@Map@nmacore@@QEAA?AW4TErrorCode@@W4TViewType@12@@Z',1,1,1,0
b'?setVisible@MapUserObject@nmacore@@QEAAX_N@Z',1,1,1,0
b'?setVoiceSkinId@Guidance@nmacore@@QEAAXIAEBVustring@ngeo@@@Z',1,1,1,0
b'?setVoiceSkinId@Guidance@nmacore@Microsoft@@QEAAXIAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z',1,1,1,0
b'?setWatermarkEnabled@Map@nmacore@@QEAAX_N@Z',1,1,1,0
b'?setZIndex@MapUserObject@nmacore@@QEAAXK@Z',1,1,1,0
b'?setZoomLevel@Map@nmacore@@QEAA?AW4TErrorCode@@M@Z',1,1,1,0
b'?setZoomScale@Map@nmacore@@QEAA?AW4TErrorCode@@N@Z',1,1,1,0
b'?setZoomScale@Map@nmacore@@QEAA?AW4TErrorCode@@NW4Movement@1ngeo@@@Z',1,1,1,0
b'?set_access_point@Connection@ngeo@@QEAA?AW4ErrorCode@2@IP6AXIPEAX@Z0@Z',1,1,1,0
b'?set_active_configuration_scheme@Map@ngeo@@QEAA?AW4ErrorCode@2@AEBVustring@2@@Z',1,1,1,0
b'?set_anchor_point@MapIconBaseObject@ngeo@@QEAAXAEBVPixelCoordinates@2@@Z',1,1,1,0
b'?set_anchor_position@MapScreenTextObject@ngeo@@QEAAXAEBW4AnchorPosition@12@@Z',1,1,1,0
b'?set_anti_aliasing_quality_hint@RenderBuffer@ngeo@@QEAAXW4AntiAliasingQualityHint@12@@Z',1,1,1,0
b'?set_application_version@Connection@ngeo@@QEAA?AW4ErrorCode@2@AEBVustring@2@@Z',1,1,1,0
b'?set_attributes@BuildingGroup@ngeo@@QEAA?AW4ErrorCode@2@AEBVBuildingAttributes@2@@Z',1,1,1,0
b'?set_bounding_area@RasterTileSourceBase@ngeo@@QEAAXVGeoRect@2@@Z',1,1,1,0
b'?set_business_landmark_hover_enabled@Map@ngeo@@QEBA?AW4ErrorCode@2@_N@Z',1,1,1,0
b'?set_cache_dir_path@MapModel@ngeo@@QEAA?AW4ErrorCode@2@AEBVustring@2@@Z',1,1,1,0
b'?set_camera_fovy_in_degrees@Map@ngeo@@QEAA?AW4ErrorCode@2@N@Z',1,1,1,0
b'?set_clip_area@RenderBuffer@ngeo@@QEAAXAEBVPixelRect@2@@Z',1,1,1,0
b'?set_color@BuildingAttributes@ngeo@@QEAA?AW4ErrorCode@2@W4ColorType@12@AEBVColor@2@@Z',1,1,1,0
b'?set_color@FillAttributes@ngeo@@QEAAXAEBVColor@2@@Z',1,1,1,0
b'?set_configuration@MapLabelConfigurable@ngeo@@QEAAXV?$SharedPointer@VMapLabelConfiguration@ngeo@@$0A@@2@@Z',1,1,1,0
b'?set_coordinate_shift@RasterTileSourceBase@ngeo@@QEAAX_N@Z',1,1,1,0
b'?set_coordinates@Location@ngeo@Microsoft@@QEAAXAEBVGeoCoordinates@23@@Z',1,1,1,0
b'?set_language@MapMatcher@ngeo@@QEAAXAEBVustring@2@@Z',1,1,1,0
b'?set_language@RouteOptions@ngeo@@QEAAXAEBVustring@2@@Z',1,1,1,0
b'?set_transit_stop_hover_enabled@Map@ngeo@@QEBA?AW4ErrorCode@2@_N@Z',1,1,1,0
b'?set_speed@DriveSimulator@ngeo@@QEAA?AW4ErrorCode@2@N@Z',1,1,1,0
b'?set_render_buffer@View@ngeo@@QEAA?AW4ErrorCode@2@AEBVRenderBuffer@2@@Z',1,1,1,0
b'?set_request_uri@_http_request@details@http@web@@QEAAXAEBVuri@34@@Z',1,1,1,0
b'?set_route@DriveSimulator@ngeo@@QEAA?AW4ErrorCode@2@AEBVRoute@2@@Z',1,1,1,0
b'?set_route@MapRouteObject@ngeo@@QEAAXAEBVRoute@2@@Z',1,1,1,0
b'?set_route@SimpleGuidance@naviplayer@@QEAA?AW4ErrorCode@ngeo@@AEBVRoute@4@@Z',1,1,1,0
b'?set_route_alternatives@RouteOptions@ngeo@@QEAAXH@Z',1,1,1,0
b'?set_route_options@RoutePlan@ngeo@Microsoft@@QEAAXAEBVRouteOptions@23@@Z',1,1,1,0
b'?set_route_plan@SimpleGuidance@naviplayer@@QEAA?AW4ErrorCode@ngeo@@AEBVRoutePlan@4@@Z',1,1,1,0
b'?set_route_request_interval_s@SimpleGuidance@naviplayer@@QEAA?AW4ErrorCode@ngeo@@I@Z',1,1,1,0
b'?set_route_type@MapRouteObject@ngeo@@QEAAXW4RouteDisplayType@2@@Z',1,1,1,0
b'?set_route_type@RouteOptions@ngeo@@QEAAXW4RouteType@12@@Z',1,1,1,0
b'?set_routing_mode@RouteOptions@ngeo@@QEAAXW4RoutingMode@12@@Z',1,1,1,0
b'?set_scale@Map@ngeo@@QEAA?AW4ErrorCode@2@NW4Movement@12@@Z',1,1,1,0
b'?set_secondary_language@Map@ngeo@@QEAA?AW4ErrorCode@2@AEBVustring@2@@Z',1,1,1,0
b'?set_speed_m_s@Location@ngeo@Microsoft@@QEAAXN@Z',1,1,1,0
b'?set_language@TransitDatabaseOptions@ngeo@@QEAAXAEBVustring@2@@Z',1,1,1,0
b'?set_speed_trigger@MapSensor@ngeo@@QEAAXN@Z',1,1,1,0
b'?set_speed_warner_options@SimpleGuidance@naviplayer@@QEAA?AW4ErrorCode@ngeo@@AEBVSpeedWarnerOptions@4@@Z',1,1,1,0
b'?set_start_direction@RouteOptions@ngeo@@QEAAXG@Z',1,1,1,0
b'?set_statistics_enabled@MapExtras@internal@ngeo@@QEAAX_N@Z',1,1,1,0
b'?set_store_operation@MapModel@ngeo@@QEAA?AW4ErrorCode@2@W4MapDataOperation@12@@Z',1,1,1,0
b'?set_telemetry_online@MapModel@ngeo@@QEAA?AW4ErrorCode@2@_N@Z',1,1,1,0
b'?set_text@MapScreenTextObject@ngeo@@QEAAXAEBVustring@2@@Z',1,1,1,0
b'?set_tile_size@RasterTileSourceBase@ngeo@@QEAAXI@Z',1,1,1,0
b'?set_time@RouteOptions@ngeo@@QEAA?AW4ErrorCode@2@AEBVDateTime@2@W4TimeType@12@@Z',1,1,1,0
b'?set_timestamp@Location@ngeo@Microsoft@@QEAAX_J@Z',1,1,1,0
b'?set_traffic@SimpleGuidance@naviplayer@@QEAA?AW4ErrorCode@ngeo@@VTraffic@4@@Z',1,1,1,0
b'?set_traffic_avoidance_mode@SimpleGuidance@naviplayer@@QEAA?AW4ErrorCode@ngeo@@W4TrafficAvoidanceMode@SimpleGuidanceOptions@2@@Z',1,1,1,0
b'?set_traffic_penalty_source@DynamicPenalty@ngeo@@QEAAXAEBVTrafficPenaltySource@12@@Z',1,1,1,0
b'?set_transit_options@RouteOptions@ngeo@@QEAAXAEBVTransitRouteOptions@2@@Z',1,1,1,0
b'?set_portrait_aspect@JunctionViewOptions@ngeo@@QEAAAEAV12@W4AspectRatio@JunctionViewSkin@2@@Z',1,1,1,0
b'?set_polygon_data@MapPolygonObject@ngeo@@QEAA?AW4ErrorCode@2@AEBV?$vector@VGeoPolygon@ngeo@@V?$allocator@VGeoPolygon@ngeo@@@std@@@std@@@Z',1,1,1,0
b'?set_platform_version@Connection@ngeo@@QEAA?AW4ErrorCode@2@AEBVustring@2@@Z',1,1,1,0
b'?set_platform_name@Connection@ngeo@@QEAA?AW4ErrorCode@2@AEBVustring@2@@Z',1,1,1,0
b'?set_line_attributes@MapPolygonObject@ngeo@@QEAAXAEBVLineAttributes@2@@Z',1,1,1,0
b'?set_line_attributes@MapPolylineObject@ngeo@@QEAAXAEBVLineAttributes@2@@Z',1,1,1,0
b'?set_localized_text@Label@ngeo@@QEAA?AW4ErrorCode@2@AEBVustring@2@0@Z',1,1,1,0
b'?set_location@MapIconObject@ngeo@@QEAAXAEBVLocation@2@@Z',1,1,1,0
b'?set_location_method@Location@ngeo@Microsoft@@QEAAXW4LocationMethod@123@@Z',1,1,1,0
b'?set_low_speed_offset_m_s@SpeedWarnerOptions@ngeo@@QEAAXM@Z',1,1,1,0
b'?set_maneuvers_enabled@RouteOptions@ngeo@@QEAAX_N@Z',1,1,1,0
b'?set_map_data_server@MapModelOptions@ngeo@@QEAAXAEBVustring@2@@Z',1,1,1,0
b'?set_map_data_variant@MapModelOptions@ngeo@@QEAAXW4MapDataVariant@12@@Z',1,1,1,0
b'?set_match_mode@MapMatcher@ngeo@@QEAAXW4MatchMode@12@@Z',1,1,1,0
b'?set_maximum_blocking_draw_time_ms@View@ngeo@@QEAA?AW4ErrorCode@2@I@Z',1,1,1,0
b'?set_maximum_changes@TransitRouteOptions@ngeo@@QEAAXI@Z',1,1,1,0
b'?set_minimum_change_time@TransitRouteOptions@ngeo@@QEAAXI@Z',1,1,1,0
b'?set_mode@MapTransitLayer@ngeo@@QEAAXW4Mode@12@@Z',1,1,1,0
b'?set_natural_guidance_mode@SimpleGuidance@naviplayer@@QEAA?AW4ErrorCode@ngeo@@I@Z',1,1,1,0
b'?set_network_mode@MapSensor@ngeo@@QEAAXW4NetworkMode@12@@Z',1,1,1,0
b'?set_online@MapModel@ngeo@@QEAA?AW4ErrorCode@2@_N@Z',1,1,1,0
b'?set_online@MapModel@ngeo@Microsoft@@QEAA?AW4ErrorCode@23@_N@Z',1,1,1,0
b'?set_opacity@MapIconBaseObject@ngeo@@QEAAXE@Z',1,1,1,0
b'?set_option@TransitRouteOptions@ngeo@@QEAAXW4Option@12@_N@Z',1,1,1,0
b'?set_orientation@Map@ngeo@@QEAA?AW4ErrorCode@2@MW4Movement@12@@Z',1,1,1,0
b'?set_output_latency_compensation_s@SimpleGuidance@naviplayer@@QEAA?AW4ErrorCode@ngeo@@I@Z',1,1,1,0
b'?set_perspective@Map@ngeo@@QEAA?AW4ErrorCode@2@MW4Movement@12@@Z',1,1,1,0
b'?set_pixel_coordinates@MapScreenIconObject@ngeo@@QEAAXAEBVPixelCoordinates@2@@Z',1,1,1,0
b'?set_pixel_coordinates@MapScreenTextObject@ngeo@@QEAAXAEBVPixelCoordinates@2@@Z',1,1,1,0
b'?set_pixel_density_for_graphics@View@ngeo@@QEAA?AW4ErrorCode@2@I@Z',1,1,1,0
b'?set_pixel_density_for_scale@Map@ngeo@@QEAA?AW4ErrorCode@2@I@Z',1,1,1,0
b'?set_pixel_format@RasterTileSourceBase@ngeo@@QEAAXW4PixelFormat@2@@Z',1,1,1,0
b'?set_pixel_transform_center@Map@ngeo@@QEAA?AW4ErrorCode@2@AEBVPixelCoordinates@2@@Z',1,1,1,0
b'ADsGetPreviousRow',1,1,1,0
b'ADsHelperGetCurrentRowMessage',1,1,1,0
b'ADsPropCheckIfWritable',1,1,1,0
b'AtqQosContextEnd',1,1,1,0
b'AtqContextSetInfo2',1,1,1,0
b'AtqCreateEndpoint',1,1,1,0
b'AtqCreateEndpointEx',1,1,1,0
b'AtqCreateQosClass',1,1,1,0
b'AtqEndpointGetInfo',1,1,1,0
b'AtqEndpointSetInfo2',1,1,1,0
b'AtqGetAcceptExAddrs',1,1,1,0
b'AtqGetAcceptExAddrsEx',1,1,1,0
b'AtqGetAddressFamilies',1,1,1,0
b'AtqGetInfo',1,1,1,0
b'AtqGetMaxDatagramSendSize',1,1,1,0
b'AtqOpenSession',1,1,1,0
b'AtqQosClassGetId',1,1,1,0
b'AtqQosClassGetInstance',1,1,1,0
b'AtqQosContextExtendTime',1,1,1,0
b'AuthzInstallSecurityEventSource',1,1,1,0
b'AtqQosContextStart',1,1,1,0
b'AtqReadFile',1,1,1,0
b'AtqReadSocket',1,1,1,0
b'AtqRegisterAddressChangeCallback',1,1,1,0
b'AtqSetInfo',1,1,1,0
b'AtqSetInfo2',1,1,1,0
b'AtqSetSockOpt',1,1,1,0
b'AtqSyncWsaSend',1,1,1,0
b'AtqUpdateQosClass',1,1,1,0
b'AuditComputeEffectivePolicyBySid',1,1,1,0
b'AuditPolicyData_DeleteAuditDataInstance',1,1,1,0
b'AuthzComputeEffectivePermission',1,1,1,0
b'AuthzEnumerateSecurityEventSources',1,1,1,0
b'AuthzInitializeObjectAccessAuditEvent2',1,1,1,0
b'AtqCloseSession',1,1,1,0
b'AtqCloseQosClass',1,1,1,0
b'AsyncStringTrace',1,1,1,0
b'AssignTempVolumeName',1,1,1,0
b'AppIDReleaseFileAttributes',1,1,1,0
b'AppPolicyGetClrCompat',1,1,1,0
b'AppPolicyGetCreateFileAccess',1,1,1,0
b'AppPolicyGetProcessTerminationMethod',1,1,1,0
b'AppPolicyGetShowDeveloperDiagnostic',1,1,1,0
b'AppPolicyGetThreadInitializationType',1,1,1,0
b'AppRepComputeImageHashWithOffset',1,1,1,0
b'AppRepComputeSignatureInfo',1,1,1,0
b'AppRepFreeAttributeLib',1,1,1,0
b'AppRepInitializeAttributeLib',1,1,1,0
b'AppRepParameterCleanup',1,1,1,0
b'AppXGetApplicationData',1,1,1,0
b'AppXGetDevelopmentMode',1,1,1,0
b'AppXGetOSMinVersion',1,1,1,0
b'AppXLookupDisplayName',1,1,1,0
b'AppXLookupMoniker',1,1,1,0
b'AppXPostSuccessExtension',1,1,1,0
b'AppXPreCreationExtension',1,1,1,0
b'AppXReleaseAppXContext',1,1,1,0
b'AppXSetTrustLabelOnPackage',1,1,1,0
b'AppXUpdatePackageCapabilities',1,1,1,0
b'AppendTempFileList',1,1,1,0
b'AppendUserLanguageInputMethods',1,1,1,0
b'AppendUserLanguages',1,1,1,0
b'ApplicationUserModelIdFromProductId',1,1,1,0
b'ApplyControlToken',1,1,1,0
b'ApplyDeltaB',1,1,1,0
b'AreThereVisibleLogoffScriptsInternal',1,1,1,0
b'AreThereVisibleShutdownScriptsInternal',1,1,1,0
b'AuthzInitializeRemoteResourceManager',1,1,1,0
b'AuthzOpenObjectAudit',1,1,1,0
b'AppIDGetFileAttributes',1,1,1,0
b'Bcp47GetEnglishName',1,1,1,0
b'BaseSrvNlsUpdateRegistryCache',1,1,1,0
b'BaseSrvRegisterSxS',1,1,1,0
b'BaseUpdateAppcompatCache',1,1,1,0
b'BasepAdjustObjectAttributesForPrivateNamespace',1,1,1,0
b'BasepGetExeArchType',1,1,1,0
b'BasepNotifyTrackingService',1,1,1,0
b'BatMeterOnDeviceChange',1,1,1,0
b'BcdCopyObjectEx',1,1,1,0
b'BcdDeleteObjectReferences',1,1,1,0
b'BcdFlushStore',1,1,1,0
b'BcdOpenStore',1,1,1,0
b'BcdSetSystemStoreDevice',1,1,1,0
b'Bcp47FromCompactTagInternal',1,1,1,0
b'Bcp47GetAbbreviation',1,1,1,0
b'Bcp47GetExtensionSubstring',1,1,1,0
b'AuthzReportSecurityEvent',1,1,1,0
b'Bcp47GetLanguageName',1,1,1,0
b'Bcp47GetLocalizedName',1,1,1,0
b'Bcp47GetLocalizedScript',1,1,1,0
b'Bcp47GetNativeName',1,1,1,0
b'Bcp47GetNeutralForm',1,1,1,0
b'Bcp47GetSubtagMapInternal',1,1,1,0
b'Bcp47RequiresTransientLcid',1,1,1,0
b'BeginPanningFeedback',1,1,1,0
b'BeginReconciliation',1,1,1,0
b'BeginRegisterPropChangeNotificationEx',1,1,1,0
b'BeginUpdateResourceW',1,1,0,1
b'BerEncodingQuotaControl',1,1,1,0
b'BiGetActiveBackgroundTasksEvent',1,1,1,0
b'BiPtActivateInBackground',1,1,1,0
b'BaseSrvNlsLogon',1,1,1,0
b'BaseSetProcessCreateNotify',1,1,1,0
b'BaseIsAppcompatInfrastructureDisabled',1,1,1,0
b'BaseGetProcessCrtlRoutine',1,1,1,0
b'AuthzReportSecurityEventFromParams',1,1,1,0
b'AuthzUnregisterSecurityEventSource',1,1,1,0
b'AuthziAccessCheckEx',1,1,1,0
b'AuthziFreeAuditQueue',1,1,1,0
b'AuthziInitializeAuditQueue',1,1,1,0
b'AuthziModifyAuditEvent2',1,1,1,0
b'AuthziModifySecurityAttributes',1,1,1,0
b'AvCreateTaskIndex',1,1,1,0
b'AvSetMultimediaMode',1,1,1,0
b'AvTaskIndexYield',1,1,1,0
b'AvTaskIndexYieldCancel',1,1,1,0
b'AvThreadOpenTaskIndex',1,1,1,0
b'AwaitAppointmentActivation',1,1,1,0
b'AwaitContactPickerResults',1,1,1,0
b'BCryptDeriveKeyCapi',1,1,1,0
b'BCryptEnumContextFunctions',1,1,1,0
b'BCryptEnumContexts',1,1,1,0
b'BCryptQueryContextConfiguration',1,1,1,0
b'BCryptQueryProviderRegistration',1,1,1,0
b'BRUSHOBJ_pvAllocRbrush',1,1,0,1
b'BacksBootVolume',1,1,1,0
b'BackupEventLogW',1,1,1,0
b'BackupPerfRegistryToFileW',1,1,1,0
b'BaseCheckAppcompatCacheEx',1,1,1,0
b'BaseCleanupAppcompatCacheSupport',1,1,1,0
b'BaseDllFreeResourceId',1,1,1,0
b'BaseDllMapResourceIdW',1,1,1,0
b'BaseDumpAppcompatCache',1,1,1,0
b'BaseGetNamedObjectDirectory',1,1,1,0
b'AppIDReleaseAppxFileAttributes',1,1,1,0
b'AppIDGetAppxFileAttributes',1,1,1,0
b'ADsPropSendErrorMessage',1,1,1,0
b'AbortPrinter',1,1,1,0
b'ASN1bitstring_cmp',1,1,1,0
b'ASN1char32string_free',1,1,1,0
b'ASN1intx2int32',1,1,1,0
b'ASN1intx2uint32',1,1,1,0
b'ASN1intxisuint32',1,1,1,0
b'ASN1objectidentifier2_cmp',1,1,1,0
b'ASN1open_free',1,1,1,0
b'ASN1utf8string_free',1,1,1,0
b'ATQReleaseTCPPortReservation',1,1,1,0
b'ATQReserveTCPPorts',1,1,1,0
b'A_SHAFinal',1,1,1,0
b'A_SHAInit',1,1,1,0
b'A_SHAUpdate',1,1,1,0
b'AbortDocImpl',1,1,1,0
b'AccNotifyTouchInteraction',1,1,1,0
b'AddConsoleAliasA',1,1,0,1
b'AccessCheckByTypeAndAuditAlarmW',1,1,1,0
b'AccessCheckByTypeResultListAndAuditAlarmByHandleW',1,1,1,0
b'AccessCheckByTypeResultListAndAuditAlarmW',1,1,1,0
b'AcquireDDThreadLock',1,1,1,0
b'AcquireDataStoreLockEx',1,1,1,0
b'AcquireStateLock',1,1,1,0
b'ActionMgrSubmitActionJson',1,1,1,0
b'ActivatePolicyManager',1,1,1,0
b'AdaptiveTimeout_ClearInterfaceSpecificConfiguration',1,1,1,0
b'AdaptiveTimeout_ResetAdaptiveTimeout',1,1,1,0
b'AddAllTwinsToTwinList',1,1,1,0
b'AddChainToStore',1,1,1,0
b'AddClipboardFormatListener',1,1,1,0
b'AddColumnsToListFromPreferences',1,1,1,0
b'ASN1CEREncUTCTime',1,1,1,0
b'ASN1CEREncNewBlkElement',1,1,1,0
b'ASN1CEREncFlushBlkElement',1,1,1,0
b'ASN1CEREncEndBlk',1,1,1,0
b'ADsPropSetHwnd',1,1,1,0
b'ADsPropSetHwndWithTitle',1,1,1,0
b'ADsPropShowErrorDialog',1,1,1,0
b'ADsSetLastError',1,1,1,0
b'ADsSetObjectAttributes',1,1,1,0
b'ADsSetSearchPreference',1,1,1,0
b'ADsWriteAttributeDefinition',1,1,1,0
b'ADsWriteClassDefinition',1,1,1,0
b'ASFCreateMediaObjectIndexMaker',1,1,1,0
b'ASFCreateStreamSelector',1,1,1,0
b'ASFPresTimeToTime',1,1,1,0
b'ASFReadHeaderFromFileHandle',1,1,1,0
b'ASFSetDataUnitInfo',1,1,1,0
b'ASFTimeToPresTime',1,1,1,0
b'ASFTimeToSendTime',1,1,1,0
b'ASN1BERDecBitString2',1,1,1,0
b'ASN1BERDecChar32String',1,1,1,0
b'ASN1BERDecEoid',1,1,1,0
b'ASN1BERDecMultibyteString',1,1,1,0
b'ASN1BERDecOpenType',1,1,1,0
b'ASN1BERDecU16Val',1,1,1,0
b'ASN1BERDecUTF8String',1,1,1,0
b'ASN1BEREncBitString',1,1,1,0
b'ASN1BEREncChar16String',1,1,1,0
b'ASN1BEREncCharString',1,1,1,0
b'ASN1BEREncOctetString',1,1,1,0
b'ASN1BEREoid2DotVal',1,1,1,0
b'ASN1BEREoid_free',1,1,1,0
b'ASN1CEREncBeginBlk',1,1,1,0
b'AddConditionalAce',1,1,1,0
b'AddConsoleAliasW',1,1,1,0
b'AppIDDecodeAttributeString',1,1,1,0
b'AllocateUserPhysicalPagesNuma',1,1,1,0
b'AdtLoadStringEx',1,1,1,0
b'AdtParseAuditOptionName',1,1,1,0
b'AdtParseGuidOrNameArray',1,1,1,0
b'AdtRemoveAllUsers',1,1,1,0
b'AdtRemoveBasePolicy',1,1,1,0
b'AdtRestorePolicy',1,1,1,0
b'AdtSetOption',1,1,1,0
b'AdtSetPerUserPolicy',1,1,1,0
b'AdtSetSystemPolicy',1,1,1,0
b'AllocADsMem',1,1,1,0
b'AllocADsStr',1,1,1,0
b'AllocateAndGetVolumePathName',1,1,1,0
b'AllocateAttributes',1,1,1,0
b'AllocateUserPhysicalPages',1,1,1,0
b'AlpcFreeCompletionListMessage',1,1,1,0
b'AddDomainUserPage_CreateInstance',1,1,1,0
b'AlpcGetMessageFromCompletionList',1,1,1,0
b'AlpcGetOutstandingCompletionListMessageCount',1,1,1,0
b'AlpcRegisterCompletionList',1,1,1,0
b'AlpcRegisterCompletionListWorkerThread',1,1,1,0
b'AlpcRundownCompletionList',1,1,1,0
b'AlpcUnregisterCompletionList',1,1,1,0
b'AlpcUnregisterCompletionListWorkerThread',1,1,1,0
b'AmpFactorToDB',1,1,1,0
b'AmsiUacInitialize',1,1,1,0
b'AmsiUacScan',1,1,1,0
b'AmsiUninitialize',1,1,1,0
b'AnyTwins',1,1,1,0
b'AppContainerPrivilegesEnabledExt',1,1,1,0
b'AppIDConstructAppxAttributes',1,1,1,0
b'AdtListSubCategories',1,1,1,0
b'AdtListCategories',1,1,1,0
b'AdtGetSystemPolicy',1,1,1,0
b'AdtGetPerUserPolicy',1,1,1,0
b'AddFolderTwin',1,1,1,0
b'AddFontResourceA',1,1,1,0
b'AddFormW',1,1,1,0
b'AddJobW',1,1,1,0
b'AddLocalAlternateComputerNameW',1,1,1,0
b'AddObjectTwin',1,1,1,0
b'AddPortW',1,1,1,0
b'AddPrintProcessorW',1,1,1,0
b'AddPrinterDriverA',1,1,0,1
b'AddPrinterDriverExW',1,1,1,0
b'AddPrinterDriverW',1,1,1,0
b'AddRadiusServerW',1,1,1,0
b'AddRefQueryBlobEx',1,1,1,0
b'AddResourceAttributeAce',1,1,1,0
b'AddScopedPolicyIDAce',1,1,1,0
b'AddTwinToTwinList',1,1,1,0
b'AdjustClipInsideRef',1,1,1,0
b'AdjustForAllDayAppts',1,1,1,0
b'AdjustGMTForAllDayAppts',1,1,1,0
b'AdsTypeFreeAdsObjects',1,1,1,0
b'AdsTypeToLdapTypeCopyConstruct',1,1,1,0
b'AdsTypeToLdapTypeCopyDNWithBinary',1,1,1,0
b'AdsTypeToLdapTypeCopyDNWithString',1,1,1,0
b'AdsTypeToLdapTypeCopyGeneralizedTime',1,1,1,0
b'AdsTypeToLdapTypeCopyTime',1,1,1,0
b'AdtBackupPolicy',1,1,1,0
b'AdtClearPolicy',1,1,1,0
b'AdtEnableSinglePrivilege',1,1,1,0
b'AdtGetOption',1,1,1,0
b'?data@SimpleBuffer@rtnet_v18@@QEAAPEAXXZ',1,1,1,0
b'?currentLocation@Guidance@nmacore@@QEBAAEBVMapMatchedLocation@ngeo@@XZ',1,1,1,0
b'NtUserGetAsyncKeyState',1,1,1,0
b'?AddBingKeyValidationListener@MapsSettings@@SAJPEAUIMapsSettingsListener@@@Z',1,1,1,0
b'??YCString@@QEAAAEBV0@AEBV0@@Z',1,1,1,0
b'??YCString@@QEAAAEBV0@PEBG@Z',1,1,1,0
b'??_7GeoCoordinates@ngeo@@6B@',1,1,1,0
b'?AccRoleProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ',1,1,1,0
b'?AccessMask@Filesystem@container@@YAAEAVNode@2@I@Z',1,1,1,0
b'?AccessMask@ObjectManager@container@@YAAEAVNode@2@I@Z',1,1,1,0
b'?AccessMask@Registry2@container@@YAAEAVNode@2@I@Z',1,1,1,0
b'?ActiveProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ',1,1,1,0
b'?Add@CCancelRpc@@QEAAXPEAX_J@Z',1,1,1,0
b'?Add@CHPtrArray@@QEAAHPEAX@Z',1,1,1,0
b'?Add@CHStringArray@@QEAAHPEBG@Z',1,1,1,0
b'?Add@NUMBER_SET@@QEAAEPEBV1@@Z',1,1,1,0
b'?Add@SPARSE_SET@@QEAAEPEBV1@@Z',1,1,1,0
b'?Add@SPARSE_SET@@QEAAEVBIG_INT@@@Z',1,1,1,0
b'?AddDriveName@MOUNT_POINT_MAP@@QEAAEPEAVWSTRING@@0@Z',1,1,1,0
b'??OVersion@ngeo@@QEBA_NAEBV01@@Z',1,1,1,0
b'?AddExtent@NTFS_EXTENT_LIST@@QEAAEVBIG_INT@@00@Z',1,1,1,0
b'?AddFileNameAttribute@NTFS_FILE_RECORD_SEGMENT@@QEAAEPEAU_FILE_NAME@@@Z',1,1,1,0
b'?AddFileSystemInfoToCache@CDataCache@@QEAAXKPEAUfilesysteminfo@@@Z',1,1,1,0
b'?AddFolder@CCollection@@QEAAPEAVCFolder@@PEBGKPEAKG@Z',1,1,1,0
b'?AddKey@CWSManResourceNoResourceUri@@QEAAHPEBG0PEAVIRequestContext@@@Z',1,1,1,0
b'?AddMRUItem@CMRUComboBox@@QEAAJPEBG@Z',1,1,1,0
b'?AddMapObject@MapControlAdapterCore@@QEAAJPEAVMapObject@core@@@Z',1,1,1,0
b'?AddMapOverlay@MapControlAdapterCore@@QEAAJPEAUIMapOverlay@@@Z',1,1,1,0
b'?AddOption@CWSManResourceNoResourceUri@@QEAAHPEBG0HPEAVIRequestContext@@@Z',1,1,1,0
b'?AddRef@CInstance@@QEAAJXZ',1,1,1,0
b'?AddRestriction@CRestriction@@QEAAXPEAU_GUID@@KK@Z',1,1,1,0
b'?AddRow@CDMComponentData@@QEAAXPEAVCDMScopeNode@@_J@Z',1,1,1,0
b'?AddSecurityDescriptor@NTFS_FILE_RECORD_SEGMENT@@QEAAEW4_CANNED_SECURITY_TYPE@@PEAVNTFS_BITMAP@@@Z',1,1,1,0
b'?AddTileSource@MapControlAdapterCore@@QEAAJPEAVTileSourceCore@@@Z',1,1,1,0
b'??PVersion@ngeo@@QEBA_NAEBV01@@Z',1,1,1,0
b'??OTIMEINFO@@QEBAEV0@@Z',1,1,1,0
b'?CountryChanged@IGuidanceListener@nmacore@Microsoft@@UEAAXAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@0@Z',1,1,1,0
b'??ARouteElements@ngeo@@QEBA?AVRouteElement@1@_K@Z',1,1,1,0
b'??8ngeo@@YA_NAEBVIdentifier@0@0@Z',1,1,1,0
b'??8ngeo@@YA_NAEBVLocationInfo@0@0@Z',1,1,1,0
b'??8ngeo@@YA_NAEBVPixelRect@0@0@Z',1,1,1,0
b'??8ngeo@@YA_NAEBVSizeInPixels@0@0@Z',1,1,1,0
b'??9iterator@RouteElements@ngeo@@QEAA_NAEBV012@@Z',1,1,1,0
b'??9iterator@RouteElements@ngeo@Microsoft@@QEAA_NAEBV0123@@Z',1,1,1,0
b'??9ngeo@@YA_NAEBVustring@0@0@Z',1,1,1,0
b'??ACHPtrArray@@QEAAAEAPEAXH@Z',1,1,1,0
b'??ACHStringArray@@QEBA?AVCHString@@H@Z',1,1,1,0
